comment_count,line_count,blank_lines,function_count,avg_variable_length,indentation_score,loop_count,personality
0,1,0,1,1,4,0,fast_problem_solver
1,6,1,1,3.5,8,1,organized
0,1,0,0,1,2,1,careless
0,3,0,1,4,8,0,planner
1,3,0,0,6,4,0,communicative
0,3,0,1,3.3,8,0,organized
0,3,0,0,1,4,0,fast_problem_solver
0,4,0,0,3,8,0,planner
1,3,0,0,4,4,0,communicative
0,2,0,1,1,1,0,careless
0,3,0,0,1,8,1,organized
0,2,0,1,9.5,8,0,planner
0,3,0,0,1,2,1,careless
1,2,0,0,8,4,0,communicative
0,3,0,1,4.5,8,0,organized
0,4,0,0,1,2,1,careless
0,2,0,0,3,4,0,planner
1,3,0,0,5,4,0,communicative
0,3,0,1,6.5,8,0,organized
0,2,0,0,1,2,1,fast_problem_solver
0,2,0,1,1,8,0,careless
1,3,0,0,2,8,0,communicative
0,3,0,1,6,8,0,planner
0,4,0,0,3,8,1,organized
0,2,0,1,1,1,0,fast_problem_solver
1,3,0,0,3,8,0,communicative
0,2,0,0,1,4,1,careless
0,3,0,1,11,8,0,planner
0,2,0,0,4,8,1,organized
1,2,0,0,2.5,4,0,communicative
2,12,2,3,6.2,8,2,organized
0,2,0,0,1,1,1,careless
1,5,1,1,4.5,6,0,communicative
0,7,0,2,8,8,1,planner
0,3,0,1,1.5,3,0,fast_problem_solver
3,20,4,4,9.2,8,3,organized
0,1,0,0,1,1,0,careless
2,8,1,1,5,5,1,communicative
0,15,3,3,10.5,8,2,planner
0,2,0,1,1,2,0,fast_problem_solver
1,9,1,2,6,7,1,organized
0,4,0,0,2,2,2,careless
4,14,2,2,7,6,1,communicative
0,11,1,3,12,8,1,planner
0,1,0,0,1,4,0,fast_problem_solver
2,18,3,4,8.5,8,2,organized
0,6,0,1,2.5,2,1,careless
1,10,2,2,4.8,5,0,communicative
0,13,2,3,9,7,2,planner
0,3,0,1,1.2,3,1,fast_problem_solver
5,25,5,5,14,8,4,organized
0,2,0,0,1,1,0,careless
2,7,1,1,5.5,4,1,communicative
0,16,2,4,11.5,8,3,planner
1,4,0,1,2,5,0,fast_problem_solver
3,22,4,5,13,7,3,organized
0,5,0,0,1.3,2,2,careless
1,9,1,2,6.5,6,1,communicative
0,14,2,3,10,8,2,planner
0,2,0,1,1,3,0,fast_problem_solver
1,10,1,2,5.5,8,1,organized
0,3,0,0,1,2,1,careless
2,7,1,1,6,5,0,communicative
0,14,2,3,9.5,8,2,planner
0,2,0,1,1.2,3,0,fast_problem_solver
3,18,3,4,8,8,2,organized
0,1,0,0,1,1,0,careless
1,9,2,2,4.5,6,1,communicative
0,12,2,3,11,8,2,planner
0,4,0,1,1.5,4,0,fast_problem_solver
2,15,2,3,7.5,7,2,organized
0,5,0,0,1.3,2,2,careless
4,13,2,2,6.5,5,1,communicative
0,16,3,4,12,8,3,planner
0,2,0,1,1,2,0,fast_problem_solver
1,11,1,2,5,8,1,organized
0,6,0,1,2,3,1,careless
2,8,1,1,5.8,6,0,communicative
0,17,3,5,13.5,8,3,planner
0,3,0,1,1.1,4,0,fast_problem_solver
5,25,5,5,14,8,4,organized
0,2,0,0,1,1,0,careless
1,10,1,2,6.2,5,1,communicative
0,15,2,4,10,7,2,planner
0,1,0,0,1,3,0,fast_problem_solver
2,20,4,4,9,8,2,organized
0,4,0,0,1.5,2,1,careless
3,12,2,2,7,6,1,communicative
0,13,2,3,11.5,8,2,planner
0,2,0,1,1,4,0,fast_problem_solver
1,9,1,2,5.4,7,1,organized
0,5,0,0,1,1,2,careless
2,11,2,1,6.8,5,0,communicative
0,18,3,5,12.5,8,3,planner
0,3,0,1,1.3,3,0,fast_problem_solver
4,22,4,5,13,8,3,organized
0,6,0,1,2.2,2,1,careless
1,7,1,1,5,6,0,communicative
0,14,2,4,9.8,7,2,planner
0,2,0,1,1.1,5,0,fast_problem_solver
2,16,3,3,8.2,8,2,organized
0,3,0,0,1,2,1,careless
3,10,1,2,6,5,1,communicative
0,19,4,5,14.5,8,4,planner
0,4,0,1,1.7,4,0,fast_problem_solver
1,13,2,3,7.2,7,2,organized
0,7,0,1,2.5,3,1,careless
2,9,1,2,5.5,6,0,communicative
0,21,5,6,15,8,5,planner
0,1,0,0,1,2,0,fast_problem_solver
2,12,2,2,6,8,1,organized
0,3,0,0,1,2,0,careless
1,8,1,1,4.8,5,1,communicative
0,15,3,3,10.2,8,2,planner
0,2,0,1,1.1,3,0,fast_problem_solver
3,18,3,4,8.5,8,2,organized
0,4,0,0,1.3,2,1,careless
2,9,1,1,5.7,6,0,communicative
0,14,2,4,11,8,3,planner
0,3,0,1,1,4,0,fast_problem_solver
1,11,2,2,5.2,7,1,organized
0,5,0,0,1,1,2,careless
2,10,1,2,6.5,6,1,communicative
0,16,3,4,12.3,8,3,planner
0,2,0,1,1,2,0,fast_problem_solver
4,20,4,5,13.5,8,4,organized
0,6,0,1,2,3,1,careless
1,9,1,2,5.9,5,0,communicative
0,17,3,4,11.8,8,2,planner
0,3,0,1,1.2,4,0,fast_problem_solver
5,25,5,5,14.8,8,4,organized
0,2,0,0,1,1,0,careless
2,7,1,1,5.4,5,1,communicative
0,13,2,3,9.7,7,2,planner
0,1,0,0,1,3,0,fast_problem_solver
3,19,3,4,12,8,3,organized
0,4,0,0,1.5,2,1,careless
1,10,1,2,6.1,6,1,communicative
0,15,2,4,10.5,8,2,planner
0,2,0,1,1,4,0,fast_problem_solver
2,14,2,3,7.8,7,2,organized
0,5,0,0,1.1,2,1,careless
3,11,1,2,6.8,6,1,communicative
0,18,3,5,13.2,8,3,planner
0,3,0,1,1.3,3,0,fast_problem_solver
4,22,4,5,13.8,8,4,organized
0,6,0,1,2.3,2,1,careless
1,8,1,1,5.3,5,0,communicative
0,14,2,4,10.8,7,2,planner
0,2,0,1,1,5,0,fast_problem_solver
2,16,3,3,8.4,8,2,organized
0,3,0,0,1,2,1,careless
3,9,1,2,5.9,5,1,communicative
0,20,4,5,14,8,4,planner
0,4,0,1,1.6,4,0,fast_problem_solver
1,12,2,3,7,7,2,organized
0,7,0,1,2.4,3,1,careless
2,10,1,2,6.2,6,0,communicative
0,21,5,6,15.5,8,5,planner
0,1,0,0,1,2,0,fast_problem_solver
1,9,1,2,5.1,7,1,organized
0,2,0,0,1,1,0,careless
2,8,1,1,5.6,6,0,communicative
0,14,3,3,10,8,2,planner
0,3,0,1,1.2,3,0,fast_problem_solver
3,17,3,4,8.8,8,2,organized
0,5,0,0,1,2,1,careless
2,10,1,2,6.3,6,1,communicative
0,16,3,4,12.1,8,3,planner
0,2,0,1,1,4,0,fast_problem_solver
4,21,4,5,13.2,8,4,organized
0,6,0,1,2.1,3,1,careless
1,11,2,2,5.4,5,0,communicative
0,18,3,5,13,8,3,planner
0,3,0,1,1,2,0,fast_problem_solver
2,13,2,3,7.6,7,2,organized
0,4,0,0,1.3,2,1,careless
3,10,1,2,6.7,6,1,communicative
0,15,2,4,11.2,8,2,planner
0,2,0,1,1,3,0,fast_problem_solver
5,24,5,5,14.5,8,4,organized
0,1,0,0,1,1,0,careless
2,7,1,1,5.2,5,1,communicative
0,12,2,3,9.4,7,2,planner
0,3,0,1,1.1,4,0,fast_problem_solver
3,19,3,4,12.4,8,3,organized
0,5,0,0,1,2,1,careless
1,9,1,2,6,6,1,communicative
0,17,3,4,11.7,8,2,planner
0,2,0,1,1,4,0,fast_problem_solver
2,14,2,3,8,7,2,organized
0,6,0,0,1.2,2,1,careless
3,11,1,2,7.1,6,1,communicative
0,20,4,5,13.8,8,4,planner
0,3,0,1,1.3,3,0,fast_problem_solver
4,22,4,5,13.6,8,4,organized
0,7,0,1,2.4,3,1,careless
1,8,1,1,5,5,0,communicative
0,15,2,4,10.6,7,2,planner
0,2,0,1,1,5,0,fast_problem_solver
2,16,3,3,8.3,8,2,organized
0,4,0,0,1,2,1,careless
3,9,1,2,6.2,5,1,communicative
0,21,5,6,15.2,8,5,planner
0,1,0,0,1,2,0,fast_problem_solver
1,13,2,3,7.3,7,2,organized
0,5,0,1,1.4,3,1,careless
2,10,1,2,6.1,6,0,communicative
0,18,4,5,14.1,8,4,planner
0,2,0,0,1,2,0,fast_problem_solver
2,11,2,2,5.8,7,1,organized
0,3,0,0,1,2,0,careless
1,8,1,1,4.9,6,0,communicative
0,15,3,3,10.4,8,2,planner
0,2,0,1,1.1,3,0,fast_problem_solver
3,18,3,4,8.7,8,2,organized
0,4,0,0,1.2,2,1,careless
2,9,1,1,5.5,6,1,communicative
0,16,3,4,12,8,3,planner
0,3,0,1,1,4,0,fast_problem_solver
4,20,4,5,13.1,8,4,organized
0,5,0,0,1,1,2,careless
1,10,1,2,6,5,0,communicative
0,17,3,5,13,8,3,planner
0,2,0,1,1,2,0,fast_problem_solver
2,13,2,3,7.5,7,2,organized
0,6,0,0,1.3,2,1,careless
3,11,1,2,6.6,6,1,communicative
0,15,2,4,11,8,2,planner
0,3,0,1,1.2,3,0,fast_problem_solver
5,25,5,5,14.9,8,4,organized
0,1,0,0,1,1,0,careless
